,iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_loss,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,model,param_C,param_solver
0,0,24,0.0007977008819580079,0.00039885050867510976,0.0005983352661132812,0.0004885387998700752,0.0001,hinge,42,"{'alpha': 0.0001, 'loss': 'hinge', 'random_state': 42}",1.0,1.0,0.8333333333333334,0.16666666666666669,0.75,0.75,0.30731814857642953,29,1.0,1.0,1.0,1.0,1.0,1.0,0.0,SGDClassifier,,
1,0,24,0.0007976531982421875,0.0003988268556689802,0.0005981922149658203,0.0004884219292923209,0.0001,log,42,"{'alpha': 0.0001, 'loss': 'log', 'random_state': 42}",1.0,1.0,0.8333333333333334,0.33333333333333337,1.0,0.8333333333333334,0.2581988897471611,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,SGDClassifier,,
2,0,24,0.0007977008819580079,0.0003988508507184162,0.000598287582397461,0.0004884997731965918,0.0001,modified_huber,42,"{'alpha': 0.0001, 'loss': 'modified_huber', 'random_state': 42}",1.0,1.0,0.8333333333333334,0.0,1.0,0.7666666666666667,0.38873012632302,24,1.0,1.0,1.0,1.0,1.0,1.0,0.0,SGDClassifier,,
3,0,24,0.0009972572326660157,5.519789172549356e-07,0.0006008625030517578,0.0004906242935385238,0.0001,squared_hinge,42,"{'alpha': 0.0001, 'loss': 'squared_hinge', 'random_state': 42}",1.0,1.0,0.5,0.33333333333333337,0.75,0.7166666666666667,0.26666666666666666,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0,SGDClassifier,,
4,0,24,0.0009963512420654297,2.1536998349449566e-06,0.0005984783172607421,0.0004886556936796731,0.0001,perceptron,42,"{'alpha': 0.0001, 'loss': 'perceptron', 'random_state': 42}",1.0,1.0,0.8333333333333334,0.33333333333333337,0.75,0.7833333333333334,0.2449489742783178,14,1.0,1.0,1.0,1.0,1.0,1.0,0.0,SGDClassifier,,
5,0,24,0.000997638702392578,0.0006306759837484584,0.0005984306335449219,0.000488616573967537,0.001,hinge,42,"{'alpha': 0.001, 'loss': 'hinge', 'random_state': 42}",1.0,1.0,0.8333333333333334,0.16666666666666669,0.75,0.75,0.30731814857642953,29,1.0,1.0,1.0,1.0,1.0,1.0,0.0,SGDClassifier,,
6,0,24,0.00079803466796875,0.0003990175049345624,0.0007977962493896484,0.00039889824938326134,0.001,log,42,"{'alpha': 0.001, 'loss': 'log', 'random_state': 42}",1.0,1.0,0.8333333333333334,0.33333333333333337,1.0,0.8333333333333334,0.2581988897471611,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,SGDClassifier,,
7,0,24,0.0005984783172607421,0.0004886555308230838,0.0009973526000976562,9.536743164062499e-08,0.001,modified_huber,42,"{'alpha': 0.001, 'loss': 'modified_huber', 'random_state': 42}",1.0,1.0,0.8333333333333334,0.0,1.0,0.7666666666666667,0.38873012632302,24,1.0,1.0,1.0,1.0,1.0,1.0,0.0,SGDClassifier,,
8,0,24,0.0008019447326660156,0.0004011613923325139,0.0005940914154052735,0.0004851368852855145,0.001,squared_hinge,42,"{'alpha': 0.001, 'loss': 'squared_hinge', 'random_state': 42}",0.75,1.0,0.8333333333333334,0.16666666666666669,1.0,0.75,0.30731814857642953,29,1.0,1.0,1.0,1.0,1.0,1.0,0.0,SGDClassifier,,
9,0,24,0.0007921218872070313,0.0003962413095616398,0.0005983829498291016,0.0004885777256966609,0.001,perceptron,42,"{'alpha': 0.001, 'loss': 'perceptron', 'random_state': 42}",1.0,1.0,0.8333333333333334,0.33333333333333337,0.75,0.7833333333333334,0.2449489742783178,14,1.0,1.0,1.0,1.0,1.0,1.0,0.0,SGDClassifier,,
